1657219197.000000, 1657219197.000000, 1657219197.000000
32.000000, 32.000000, 32.000000
-35,10,54
-31,7,57
-35,-7,63
-42,-1,65
-32,-14,56
-32,-16,53
-23,-20,54
-24,-18,55
-29,-19,48
-23,-21,56
-20,-24,55
-26,-39,39
-28,-39,41
-37,-29,52
-49,-31,45
-40,-34,48
-33,-41,55
-49,-39,39
-39,-41,40
-23,-47,35
-16,-41,35
-19,-41,29
-34,-37,26
-20,-31,37
2,-22,49
-1,-25,50
-9,-21,51
-15,-20,57
-28,-22,60
-45,-18,47
-22,-11,62
-15,-10,68
-21,-13,60
-23,-10,60
-17,-7,60
-23,-8,59
-16,-6,58
-13,-5,61
-21,-5,60
-23,-5,57
-9,-1,66
-10,-1,65
-10,-3,59
-6,-3,59
-10,-2,67
-11,0,64
-12,-1,65
-5,-3,66
-22,-1,54
-24,5,62
-16,6,62
-31,12,60
-37,7,62
-26,9,68
-22,19,76
-21,17,77
-36,13,69
-29,-4,48
-28,-8,47
-34,-11,44
-42,-13,42
-43,-13,40
-40,-15,38
-41,-19,36
-40,-23,41
-31,-21,46
-28,-20,46
-36,-23,44
-37,-23,46
-37,-22,45
-46,-24,40
-47,-23,42
-43,-19,41
-54,-16,43
-51,-15,45
-40,-16,45
-40,-15,43
-37,-14,45
-42,-13,47
-44,-14,46
-48,-13,45
-56,-13,42
-58,-14,38
-49,-15,42
-47,-15,42
-45,-15,43
-42,-13,47
-47,-11,35
-58,-5,35
-51,-4,44
-40,-2,47
-34,-4,43
-48,1,48
-42,2,59
-41,0,57
-57,0,46
-49,5,52
-46,3,49
-42,1,42
-37,-1,41
-40,0,43
-54,8,52
-55,3,45
-34,3,46
-39,3,47
-48,5,50
-45,3,47
-39,4,55
-37,5,51
-38,7,50
-39,6,52
-37,5,46
-47,3,42
-45,2,48
-44,2,49
-40,1,50
-39,-1,49
-41,1,49
-40,2,50
-40,2,49
-44,2,47
-45,2,47
-45,3,48
-42,1,46
-47,3,46
-45,3,46
-44,2,46
-45,3,47
-44,2,46
-46,3,46
-48,5,44
-48,4,43
-47,3,44
-47,3,44
-47,3,45
-47,3,44
-48,3,43
-48,3,42
-49,3,42
-50,3,41
-50,2,41
-49,3,42
-49,2,42
-49,2,42
-49,3,41
-50,3,41
-50,2,41
-49,2,41
-50,3,41
-50,2,41
-50,3,41
-50,2,41
-50,2,41
-49,2,41
-50,2,41
-50,2,41
-50,3,41
-50,2,41
-50,2,41
-50,2,41
-50,3,41
-50,3,41
-50,2,41
-50,2,40
-50,2,40
-50,2,40
-50,2,40
-51,2,40
-52,3,39
-51,3,40
-50,3,41
-50,2,40
-50,2,40
-51,2,40
-51,2,40
-50,2,40
-50,2,40
-52,2,40
-53,2,38
-51,3,39
-55,2,38
-53,1,38
-50,3,41
-47,3,44
-41,3,49
-43,3,49
-44,2,48
-42,1,48
-40,-1,49
-42,0,48
-39,-2,47
-36,-1,45
-34,-1,54
-35,11,60
-29,5,56
-35,5,53
-37,3,54
-37,-1,52
-38,-3,53
-42,2,51
-43,4,52
-37,2,53
-35,11,54
-33,8,53
-35,9,52
-28,8,54
-29,3,56
-35,1,55
-37,2,56
-31,1,57
-30,-2,53
-38,4,52
-34,3,52
-38,2,52
-33,4,55
-32,2,53
-35,3,54
-29,2,56
